ensembl_id	gene_name	uniprot_id
ENSG00000198888	MT-ND1	P03886
ENSG00000198888	MT-ND1	U5Z754
ENSG00000198763	MT-ND2	A0A1X7RBG6
ENSG00000198763	MT-ND2	P03891
ENSG00000198763	MT-ND2	Q7GXY9
ENSG00000198804	MT-CO1	P00395
ENSG00000198804	MT-CO1	U5YWV7
ENSG00000198804	MT-CO1	A0A1X7RBG2
ENSG00000198712	MT-CO2	P00403
ENSG00000198712	MT-CO2	A0A1X7RBF7
ENSG00000198712	MT-CO2	U5Z487
ENSG00000228253	MT-ATP8	P03928
ENSG00000228253	MT-ATP8	U5YV54
ENSG00000228253	MT-ATP8	A0A1X7RCP4
ENSG00000198899	MT-ATP6	Q0ZFE3
ENSG00000198899	MT-ATP6	P00846
ENSG00000198938	MT-CO3	Q7GIM7
ENSG00000198938	MT-CO3	P00414
ENSG00000198938	MT-CO3	A0A1X7RBF0
ENSG00000198840	MT-ND3	P03897
ENSG00000198840	MT-ND3	Q7GXZ5
ENSG00000212907	MT-ND4L	P03901
ENSG00000212907	MT-ND4L	A0A1X7RC16
ENSG00000212907	MT-ND4L	Q7GXZ4
ENSG00000198886	MT-ND4	P03905
ENSG00000198886	MT-ND4	A0A1X7RBN5
ENSG00000198886	MT-ND4	H9EC08
ENSG00000198786	MT-ND5	P03915
ENSG00000198786	MT-ND5	U5ZC31
ENSG00000198695	MT-ND6	P03923
ENSG00000198695	MT-ND6	A0A1X7RCR6
ENSG00000198695	MT-ND6	U5Z977
ENSG00000198727	MT-CYB	P00156
ENSG00000198727	MT-CYB	Q0ZFD6
ENSG00000271254		
ENSG00000273947	KIR2DL3	A0A0G2JPP8
ENSG00000273947	KIR2DL3	P43628
ENSG00000273947	KIR2DL3	E3NZD8
ENSG00000273947	KIR2DL3	A0A191URJ0
ENSG00000273947	KIR2DL3	A0A0G2JNW9
ENSG00000273947	KIR2DL3	A0A0C4ZLV8
ENSG00000276820	KIR2DL1	A0A0G2JQ35
ENSG00000276820	KIR2DL1	A0A0G2JPY8
ENSG00000276820	KIR2DL1	E7BWR8
ENSG00000276820	KIR2DL1	A0A0G2JQ06
ENSG00000276820	KIR2DL1	A0A0C4ZNX3
ENSG00000276820	KIR2DL1	A0A1W2PRZ1
ENSG00000276820	KIR2DL1	A0A0G2JQ05
ENSG00000276820	KIR2DL1	Q6H2H3
ENSG00000276820	KIR2DL1	A0A0G2JND8
ENSG00000276820	KIR2DL1	Q6H2H2
ENSG00000277554	KIR2DL3	A0A0G2JPP8
ENSG00000277554	KIR2DL3	P43628
ENSG00000277554	KIR2DL3	E3NZD8
ENSG00000277554	KIR2DL3	A0A191URJ0
ENSG00000277554	KIR2DL3	A0A0G2JNW9
ENSG00000277554	KIR2DL3	A0A0C4ZLV8
ENSG00000273735	KIR3DL2	A0A191URK3
ENSG00000273735	KIR3DL2	A0A0U5FLC8
ENSG00000273735	KIR3DL2	P43630
ENSG00000273735	KIR3DL2	A0A1W2PPV3
ENSG00000273735	KIR3DL2	A0A0G2JN45
ENSG00000273735	KIR3DL2	A0A0G2JMI1
ENSG00000273735	KIR3DL2	A0A0G2JM59
ENSG00000273735	KIR3DL2	A0A1W2PQJ3
ENSG00000273735	KIR3DL2	A0A0U5GHD6
ENSG00000273735	KIR3DL2	A0A0G2JPA6
ENSG00000273735	KIR3DL2	A0A0G2JP67
ENSG00000273735	KIR3DL2	Q8NHK6
ENSG00000273735	KIR3DL2	A0A0G2JMW7
ENSG00000273735	KIR3DL2	A0A0G2JLP2
ENSG00000273735	KIR3DL2	A0A1W2PP69
ENSG00000273735	KIR3DL2	A0A0G2JP59
ENSG00000273735	KIR3DL2	A0A0G2JPL0
ENSG00000273735	KIR3DL2	A0A0G2JLU7
ENSG00000273735	KIR3DL2	A0A0G2JMA3
ENSG00000273735	KIR3DL2	A0A0G2JNN5
ENSG00000273735	KIR3DL2	A0A0G2JLZ4
ENSG00000273735	KIR3DL2	A0A0G2JLM7
ENSG00000273735	KIR3DL2	A0A120N617
ENSG00000273735	KIR3DL2	K7R1T8
ENSG00000273735	KIR3DL2	A0A0G2JP93
ENSG00000273735	KIR3DL2	A0A0G2JNA1
ENSG00000273735	KIR3DL2	A0A0U1WNF3
ENSG00000273735	KIR3DL2	A0A0G2JPQ5
ENSG00000273735	KIR3DL2	Q9BQU0
ENSG00000273735	KIR3DL2	A0A0G2JM36
ENSG00000273735	KIR3DL2	Q6H2F6
ENSG00000273735	KIR3DL2	A0A0U1WNF5
ENSG00000273735	KIR3DL2	A0A0G2JLX7
ENSG00000273735	KIR3DL2	A0A0G2JMS0
ENSG00000274324	KIR2DS4	P43632
ENSG00000274324	KIR2DS4	A0A1W2PQ83
ENSG00000274324	KIR2DS4	A0A0C4ZN30
ENSG00000274324	KIR2DS4	A0A0G2JNN1
ENSG00000274324	KIR2DS4	A0A0C4ZN05
ENSG00000274324	KIR2DS4	A0A0G2JMV9
ENSG00000262826	INTS3	A0A096LPB9
ENSG00000262826	INTS3	A0A096LNW8
ENSG00000280663	PCMTD2	A0A0G2JR02
ENSG00000280663	PCMTD2	Q9NV79
ENSG00000280663	PCMTD2	V9GYG6
ENSG00000280663	PCMTD2	F8W9F3
ENSG00000280663	PCMTD2	A0A0G2JM70
ENSG00000280663	PCMTD2	V9GZ41
ENSG00000280663	PCMTD2	V9GYL1
ENSG00000280663	PCMTD2	V9GYZ7
ENSG00000274714	KIR2DS4	P43632
ENSG00000274714	KIR2DS4	A0A1W2PQ83
ENSG00000274714	KIR2DS4	A0A0C4ZN30
ENSG00000274714	KIR2DS4	A0A0G2JNN1
ENSG00000274714	KIR2DS4	A0A0C4ZN05
ENSG00000274714	KIR2DS4	A0A0G2JMV9
ENSG00000274807	KIR2DS4	P43632
ENSG00000274807	KIR2DS4	A0A1W2PQ83
ENSG00000274807	KIR2DS4	A0A0C4ZN30
ENSG00000274807	KIR2DS4	A0A0G2JNN1
ENSG00000274807	KIR2DS4	A0A0C4ZN05
ENSG00000274807	KIR2DS4	A0A0G2JMV9
ENSG00000275047	KIR2DS5	A0A7D4Y677
ENSG00000276885	KIR2DS4	P43632
ENSG00000276885	KIR2DS4	A0A1W2PQ83
ENSG00000276885	KIR2DS4	A0A0C4ZN30
ENSG00000276885	KIR2DS4	A0A0G2JNN1
ENSG00000276885	KIR2DS4	A0A0C4ZN05
ENSG00000276885	KIR2DS4	A0A0G2JMV9
ENSG00000274957	KIR2DS4	P43632
ENSG00000274957	KIR2DS4	A0A1W2PQ83
ENSG00000274957	KIR2DS4	A0A0C4ZN30
ENSG00000274957	KIR2DS4	A0A0G2JNN1
ENSG00000274957	KIR2DS4	A0A0C4ZN05
ENSG00000274957	KIR2DS4	A0A0G2JMV9
ENSG00000278306	KIR2DS3	Q14952
ENSG00000278306	KIR2DS3	K7QT50
ENSG00000276779	KIR2DL4	A0A0C4ZNX8
ENSG00000276779	KIR2DL4	A0A0G2JNZ6
ENSG00000276779	KIR2DL4	A0A0G2JMV5
ENSG00000276779	KIR2DL4	A0A0G2JPS9
ENSG00000276779	KIR2DL4	A0A0G2JLM4
ENSG00000276779	KIR2DL4	A0A0G2JPN7
ENSG00000276779	KIR2DL4	A0A0G2JLM0
ENSG00000276779	KIR2DL4	A0A0G2JMF5
ENSG00000276779	KIR2DL4	A0A0G2JP28
ENSG00000276779	KIR2DL4	A0A0G2JMD1
ENSG00000276779	KIR2DL4	A0A0G2JNG7
ENSG00000276779	KIR2DL4	A0A0G2JNK6
ENSG00000276779	KIR2DL4	A0A376A929
ENSG00000276779	KIR2DL4	A0A0G2JPG6
ENSG00000276779	KIR2DL4	A0A0G2JPE3
ENSG00000276779	KIR2DL4	A0A0G2JNE8
ENSG00000276779	KIR2DL4	K7RE46
ENSG00000276779	KIR2DL4	Q8N736
